path,text,num_frames,fps,height,width,aspect_ratio,resolution,text_len
/nfs/data/banyuanhao/video/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g04_c01.avi,73,843,25,240,320,1.333333333,"(320, 240)",18
/nfs/data/banyuanhao/video/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g08_c06.avi,73,500,25,240,320,1.333333333,"(320, 240)",18
/nfs/data/banyuanhao/video/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g08_c01.avi,73,490,25,240,320,1.333333333,"(320, 240)",18
/nfs/data/banyuanhao/video/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g23_c01.avi,73,324,25,240,320,1.333333333,"(320, 240)",18
/nfs/data/banyuanhao/video/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g10_c07.avi,73,426,25,240,320,1.333333333,"(320, 240)",18
/nfs/data/banyuanhao/video/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g23_c06.avi,73,332,25,240,320,1.333333333,"(320, 240)",18
/nfs/data/banyuanhao/video/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g03_c04.avi,73,300,25,240,320,1.333333333,"(320, 240)",18
/nfs/data/banyuanhao/video/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g07_c04.avi,73,398,25,240,320,1.333333333,"(320, 240)",18
/nfs/data/banyuanhao/video/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g07_c03.avi,73,458,25,240,320,1.333333333,"(320, 240)",18
/nfs/data/banyuanhao/video/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g03_c03.avi,73,300,25,240,320,1.333333333,"(320, 240)",18
/nfs/data/banyuanhao/video/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g13_c02.avi,73,157,25,240,320,1.333333333,"(320, 240)",18
/nfs/data/banyuanhao/video/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g24_c04.avi,73,417,25,240,320,1.333333333,"(320, 240)",18
/nfs/data/banyuanhao/video/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g20_c04.avi,73,397,25,240,320,1.333333333,"(320, 240)",18
/nfs/data/banyuanhao/video/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g17_c02.avi,73,404,25,240,320,1.333333333,"(320, 240)",18
/nfs/data/banyuanhao/video/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g20_c03.avi,73,404,25,240,320,1.333333333,"(320, 240)",18
/nfs/data/banyuanhao/video/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g17_c05.avi,73,260,25,240,320,1.333333333,"(320, 240)",18
/nfs/data/banyuanhao/video/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g13_c05.avi,73,186,25,240,320,1.333333333,"(320, 240)",18
/nfs/data/banyuanhao/video/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g24_c03.avi,73,397,25,240,320,1.333333333,"(320, 240)",18
/nfs/data/banyuanhao/video/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g12_c03.avi,73,516,25,240,320,1.333333333,"(320, 240)",18
/nfs/data/banyuanhao/video/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g25_c05.avi,73,426,25,240,320,1.333333333,"(320, 240)",18
/nfs/data/banyuanhao/video/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g21_c05.avi,73,438,25,240,320,1.333333333,"(320, 240)",18
/nfs/data/banyuanhao/video/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g16_c03.avi,73,250,25,240,320,1.333333333,"(320, 240)",18
