text,class_name,video_name,frame_index,width,height,aspect_ratio,resolution,fps
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g04_c01.avi,RockClimbingIndoor,843,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g08_c06.avi,RockClimbingIndoor,500,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g08_c01.avi,RockClimbingIndoor,490,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g23_c01.avi,RockClimbingIndoor,324,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g10_c07.avi,RockClimbingIndoor,426,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g23_c06.avi,RockClimbingIndoor,332,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g03_c04.avi,RockClimbingIndoor,300,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g07_c04.avi,RockClimbingIndoor,398,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g07_c03.avi,RockClimbingIndoor,458,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g03_c03.avi,RockClimbingIndoor,300,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g13_c02.avi,RockClimbingIndoor,157,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g24_c04.avi,RockClimbingIndoor,417,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g20_c04.avi,RockClimbingIndoor,397,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g17_c02.avi,RockClimbingIndoor,404,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g20_c03.avi,RockClimbingIndoor,404,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g17_c05.avi,RockClimbingIndoor,260,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g13_c05.avi,RockClimbingIndoor,186,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g24_c03.avi,RockClimbingIndoor,397,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g12_c03.avi,RockClimbingIndoor,516,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g25_c05.avi,RockClimbingIndoor,426,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g21_c05.avi,RockClimbingIndoor,438,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g16_c03.avi,RockClimbingIndoor,250,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g21_c02.avi,RockClimbingIndoor,325,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g16_c04.avi,RockClimbingIndoor,250,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g12_c04.avi,RockClimbingIndoor,493,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g25_c02.avi,RockClimbingIndoor,438,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g02_c05.avi,RockClimbingIndoor,310,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g06_c05.avi,RockClimbingIndoor,558,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g06_c02.avi,RockClimbingIndoor,308,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g02_c02.avi,RockClimbingIndoor,354,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g19_c01.avi,RockClimbingIndoor,446,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g11_c01.avi,RockClimbingIndoor,167,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g22_c07.avi,RockClimbingIndoor,433,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g15_c01.avi,RockClimbingIndoor,342,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g20_c02.avi,RockClimbingIndoor,397,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g17_c04.avi,RockClimbingIndoor,237,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g13_c04.avi,RockClimbingIndoor,224,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g24_c02.avi,RockClimbingIndoor,417,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g13_c03.avi,RockClimbingIndoor,149,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g24_c05.avi,RockClimbingIndoor,438,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g20_c05.avi,RockClimbingIndoor,397,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g17_c03.avi,RockClimbingIndoor,308,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g07_c02.avi,RockClimbingIndoor,443,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g03_c02.avi,RockClimbingIndoor,298,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g03_c05.avi,RockClimbingIndoor,293,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g07_c05.avi,RockClimbingIndoor,442,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g10_c01.avi,RockClimbingIndoor,418,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g14_c01.avi,RockClimbingIndoor,326,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g18_c01.avi,RockClimbingIndoor,167,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g10_c06.avi,RockClimbingIndoor,412,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g08_c07.avi,RockClimbingIndoor,490,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g09_c01.avi,RockClimbingIndoor,252,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g05_c06.avi,RockClimbingIndoor,332,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g05_c01.avi,RockClimbingIndoor,353,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g01_c01.avi,RockClimbingIndoor,529,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g22_c06.avi,RockClimbingIndoor,413,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g22_c01.avi,RockClimbingIndoor,427,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g06_c03.avi,RockClimbingIndoor,312,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g02_c03.avi,RockClimbingIndoor,300,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g02_c04.avi,RockClimbingIndoor,290,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g06_c04.avi,RockClimbingIndoor,313,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g21_c03.avi,RockClimbingIndoor,408,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g16_c05.avi,RockClimbingIndoor,252,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g12_c05.avi,RockClimbingIndoor,491,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g25_c03.avi,RockClimbingIndoor,391,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g12_c02.avi,RockClimbingIndoor,490,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g25_c04.avi,RockClimbingIndoor,414,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g21_c04.avi,RockClimbingIndoor,409,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g16_c02.avi,RockClimbingIndoor,248,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g05_c02.avi,RockClimbingIndoor,344,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g01_c02.avi,RockClimbingIndoor,535,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g01_c05.avi,RockClimbingIndoor,464,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g09_c02.avi,RockClimbingIndoor,246,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g05_c05.avi,RockClimbingIndoor,328,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g22_c02.avi,RockClimbingIndoor,406,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g15_c04.avi,RockClimbingIndoor,333,25.0,240,320,1.3333333333333333,"(320, 240)",18
/data/xuchenheng/UCF101/RockClimbingIndoor/v_RockClimbingIndoor_g19_c03.avi,RockClimbingIndoor,407,25.0,240,320,1.3333333333333333,"(320, 240)",18
